"","metodologia","mse","accuracy","n","seed"
"294","Non local",32.5432678911001,0.62,2628,30
"295","Lasso mod 10000",27.210825151513,0.7,836,30
"296","Lasso mod 200",27.210825151513,0.7,836,30
"297","Lasso mod 100",28.4476088823847,0.7,1314,30
"298","Lasso mod 50",28.4476088823847,0.7,1314,30
"299","Naive",24.1516108060353,0.4,200,30
"300","Oracle",23.0110099145421,1,557,30
"301","Lasso",10.9116248992572,0.68,448,31
"302","Ada Lasso",10.8420197631311,0.76,657,31
"303","Local prior",11.7116898967926,0.78,1022,31
"304","Non local",12.0209248805777,0.7,1082,31
"305","Lasso mod 10000",10.6640310723859,0.58,360,31
"306","Lasso mod 200",10.5812717013801,0.74,575,31
"307","Lasso mod 100",10.5812717013801,0.74,575,31
"308","Lasso mod 50",21.719661273089,0.6,Inf,31
"309","Naive",11.2251999617999,0.4,200,31
"310","Oracle",10.2656683036555,1,511,31
"311","Lasso",17.9513070468097,0.58,383,32
"312","Ada Lasso",16.9873906693159,0.7,736,32
"313","Local prior",18.5032109790166,0.64,1415,32
"314","Non local",18.8654178565693,0.62,1672,32
"315","Lasso mod 10000",17.2588475277632,0.62,525,32
"316","Lasso mod 200",18.5805848330483,0.58,920,32
"317","Lasso mod 100",19.7265758001945,0.58,3680,32
"318","Lasso mod 50",19.7118612239686,0.6,4600,32
"319","Naive",17.8730491044132,0.4,200,32
"320","Oracle",15.0642047188569,1,511,32
"321","Lasso",20.5639133126338,0.62,375,33
"322","Ada Lasso",20.5624579809233,0.64,511,33
"323","Local prior",21.7927333567434,0.7,1533,33
"324","Non local",22.5276167557596,0.68,1840,33
"325","Lasso mod 10000",20.7177155496201,0.52,347,33
"326","Lasso mod 200",20.7299665453744,0.62,575,33
"327","Lasso mod 100",20.7299665453744,0.62,575,33
"328","Lasso mod 50",23.3642208331588,0.64,2044,33
"329","Naive",21.6224618042593,0.4,200,33
"330","Oracle",19.1751222526133,1,484,33
"331","Lasso",23.2066062326809,0.6,418,34
"332","Ada Lasso",22.9151793030771,0.66,511,34
"333","Local prior",24.6521502733371,0.64,1314,34
"334","Non local",25.4133350262862,0.7,1672,34
"335","Lasso mod 10000",23.0090876023511,0.64,736,34
